编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
1,1,5473,10312,379,5265,10261,389,1061,61.25557034228955
2,1,5473,10312,379,5511,10133,393,1048,52.43538297519245
3,1,5473,10312,379,5511,10329,384,996,11.979574453278074
4,1,5473,10312,379,5265,10416,379,1029,66.44316275999375
5,2,5458,10298,379,5265,10261,389,1045,56.21968570905115
6,2,5458,10298,379,5511,10133,393,1045,49.67650452719893
7,2,5458,10298,379,5511,10329,384,999,17.6010203785845
8,2,5458,10298,379,5265,10416,379,1034,64.63271427924128
9,3,5373,10421,379,5265,10261,389,988,55.22791367578167
10,3,5373,10421,379,5511,10133,393,1036,91.33209195243566
11,3,5373,10421,379,5511,10329,384,979,47.408773837072545
12,3,5373,10421,379,5265,10416,379,959,30.89019393970606
13,4,5427,10309,379,5265,10261,389,1079,48.359200209453
14,4,5427,10309,379,5511,10133,393,1075,55.86280570490968
15,4,5427,10309,379,5511,10329,384,1016,24.71222121847853
16,4,5427,10309,379,5265,10416,379,1032,55.47052903873132
17,5,5442,10307,379,5265,10261,389,1041,52.32941187266273
18,5,5442,10307,379,5511,10133,393,1028,53.62987288168902
19,5,5442,10307,379,5511,10329,384,1001,20.741361614721757
20,5,5442,10307,379,5265,10416,379,1028,59.39147193642797
21,6,5493,10384,385,5265,10261,389,1050,74.02647072059385
22,6,5493,10384,385,5511,10133,393,1040,71.9347777149409
23,6,5493,10384,385,5511,10329,384,995,16.536909861128894
24,6,5493,10384,385,5265,10416,379,1040,65.80366592356076
25,7,5443,10422,379,5265,10261,389,1023,68.63390011428724
26,7,5443,10422,379,5511,10133,393,1030,84.92061118528076
27,7,5443,10422,379,5511,10329,384,988,32.94770129171629
28,7,5443,10422,379,5265,10416,379,988,50.88602711061299
29,8,5448,10404,389,5265,10261,389,1040,66.3558741997747
30,8,5448,10404,389,5511,10133,393,1048,79.50150813612511
31,8,5448,10404,389,5511,10329,384,1006,28.021857358068154
32,8,5448,10404,389,5265,10416,379,1021,52.475844783236084
33,9,5493,10352,385,5265,10261,389,1032,70.14911231928508
