编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
1,1,5472,10285,388,5265,10213,389,1062,62.61902951294325
2,1,5472,10285,388,5511,10133,393,1042,44.858052766021665
3,1,5472,10285,388,5511,10329,384,1008,16.837761255037222
4,1,5472,10285,388,5265,10025,391,1089,94.95777794281379
5,2,5449,10271,397,5265,10213,389,973,55.16875779582765
6,2,5449,10271,397,5511,10133,393,957,43.24019294261169
7,2,5449,10271,397,5511,10329,384,935,24.539846813553115
8,2,5449,10271,397,5265,10025,391,1011,87.78824243715147
9,3,5505,10299,384,5265,10213,389,1012,72.85490192632118
10,3,5505,10299,384,5511,10133,393,984,47.52915324475354
11,3,5505,10299,384,5511,10329,384,944,8.741176309016202
12,3,5505,10299,384,5265,10025,391,1040,104.08983561112497
13,4,5424,10273,400,5265,10213,389,1022,48.65706736006222
14,4,5424,10273,400,5511,10133,393,1022,47.13679614717581
15,4,5424,10273,400,5511,10329,384,1003,29.912798434851958
16,4,5424,10273,400,5265,10025,391,1063,84.20868150503442
17,5,5532,10284,384,5265,10213,389,1076,78.94973859671606
18,5,5532,10284,384,5511,10133,393,1034,43.6339130418868
19,5,5532,10284,384,5511,10329,384,1005,14.188238877640156
20,5,5532,10284,384,5265,10025,391,1102,106.29915429617317
21,6,5334,10300,388,5265,10213,389,987,31.727153116817135
22,6,5334,10300,388,5511,10133,393,1028,69.54252846500566
23,6,5334,10300,388,5511,10329,384,1008,51.25844878094314
24,6,5334,10300,388,5265,10025,391,1042,81.01146303367902
25,7,5458,10264,384,5265,10213,389,989,57.05350156490245
26,7,5458,10264,384,5511,10133,393,978,40.45758676108367
27,7,5458,10264,384,5511,10329,384,944,23.96255582429915
28,7,5458,10264,384,5265,10025,391,1016,87.7933566358398
29,8,5323,10327,388,5265,10213,389,977,36.545749913426235
30,8,5323,10327,388,5511,10133,393,1021,77.19839270823385
31,8,5323,10327,388,5511,10329,384,1004,53.72948113333259
32,8,5323,10327,388,5265,10025,391,1034,87.86678228188073
33,9,5565,10130,395,5265,10213,389,1077,88.95080043461769
34,9,5565,10130,395,5511,10133,393,1005,15.46292471741121
35,9,5565,10130,395,5511,10329,384,1033,58.99705976762308
36,9,5565,10130,395,5265,10025,391,1083,90.81984859026788
37,10,5498,10001,386,5265,10213,389,1347,90.00770942037154
38,10,5498,10001,386,5511,10133,393,1292,37.94948307034132
39,10,5498,10001,386,5511,10329,384,1326,93.78960387973908
40,10,5498,10001,386,5265,10025,391,1319,66.93889995010832
41,11,5452,10365,384,5265,10213,389,1036,68.86721917974488
42,11,5452,10365,384,5511,10133,393,1038,68.443929084846
43,11,5452,10365,384,5511,10329,384,1006,19.747384223574254
44,11,5452,10365,384,5265,10025,391,1083,110.88438545970082
45,12,5477,10241,384,5265,10213,389,1053,61.11414546167036
46,12,5477,10241,384,5511,10133,393,1027,32.45216259577869
47,12,5477,10241,384,5511,10329,384,1004,26.954231805876013
48,12,5477,10241,384,5265,10025,391,1073,86.49595956117352
49,13,5400,10261,384,5265,10213,389,1011,40.961903654742514
50,13,5400,10261,384,5511,10133,393,1014,48.47553559291953
51,13,5400,10261,384,5511,10329,384,995,37.19227481779582
52,13,5400,10261,384,5265,10025,391,1037,77.70693242522688
53,14,5456,10321,384,5265,10213,389,1045,62.70761435391386
54,14,5456,10321,384,5511,10133,393,1035,56.02477586036451
55,14,5456,10321,384,5511,10329,384,1001,15.879649407531717
56,14,5456,10321,384,5265,10025,391,1083,100.6695949477238
57,15,5437,10336,388,5265,10213,389,1038,60.41624325443938
58,15,5437,10336,388,5511,10133,393,1038,61.74998967198129
59,15,5437,10336,388,5511,10329,384,1009,21.26796959308163
60,15,5437,10336,388,5265,10025,391,1085,101.54480261823109
61,16,5500,10298,388,5265,10213,389,1066,71.40056593841908
62,16,5500,10298,388,5511,10133,393,1038,47.26909505098205
63,16,5500,10298,388,5511,10329,384,1006,9.467452300446224
64,16,5500,10298,388,5265,10025,391,1108,102.92180507153805
65,17,5340,10323,391,5265,10213,389,992,38.04294029281187
66,17,5340,10323,391,5511,10133,393,1021,73.03619454959106
67,17,5340,10323,391,5511,10329,384,1005,48.92810218753094
68,17,5340,10323,391,5265,10025,391,1047,87.79800564886635
69,18,5454,10348,384,5265,10213,389,1095,66.37616980790129
70,18,5454,10348,384,5511,10133,393,1092,63.602721030227784
71,18,5454,10348,384,5511,10329,384,1050,17.166650155199772
72,18,5454,10348,384,5265,10025,391,1131,106.94228846076042
73,19,5357,10304,388,5265,10213,389,998,36.973239081303994
74,19,5357,10304,388,5511,10133,393,1025,65.7651976693585
75,19,5357,10304,388,5511,10329,384,1002,44.590655193798675
76,19,5357,10304,388,5265,10025,391,1044,83.94069821205046
77,20,5455,10224,384,5265,10213,389,1031,54.395377954906635
78,20,5455,10224,384,5511,10133,393,1014,30.6367792840233
79,20,5455,10224,384,5511,10329,384,998,34.0
80,20,5455,10224,384,5265,10025,391,1011,78.63633682584506
81,21,5347,10326,384,5265,10213,389,994,39.91623883144528
82,21,5347,10326,384,5511,10133,393,1024,72.40814025722663
83,21,5347,10326,384,5511,10329,384,997,46.86498192267063
84,21,5347,10326,384,5265,10025,391,1041,89.15659234842745
85,22,5509,10269,384,5265,10213,389,1074,71.54105429038346
86,22,5509,10269,384,5511,10133,393,1033,38.946326226367134
87,22,5509,10269,384,5511,10329,384,1002,17.15237830834701
88,22,5509,10269,384,5265,10025,391,1071,98.61117211201842
89,23,5426,10264,388,5265,10213,389,1460,48.25358186979808
90,23,5426,10264,388,5511,10133,393,1449,44.640057055043634
91,23,5426,10264,388,5511,10329,384,1434,30.594117081556707
92,23,5426,10264,388,5265,10025,391,1485,82.33877257639779
93,24,5383,10250,388,5265,10213,389,995,35.3339750936456
94,24,5383,10250,388,5511,10133,393,1009,49.567929065442456
95,24,5383,10250,388,5511,10329,384,1009,42.991218847099276
