编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
1,1,5501,8884,432,5265.10000000149,8866.299999999814,431.2,1078,67.58984345830858
2,1,5501,8884,432,5512.20000000298,8561.100000000093,461.2,1113,92.6888540951388
3,1,5501,8884,432,5511.20000000298,8867.299999999814,434.0,1008,5.6201532411892865
4,1,5501,8884,432,5511.0,8747.399999999907,443.0,1037,39.25901430351646
5,1,5501,8884,432,5266.29999999702,8780.399999999907,430.4,1075,73.30095079786396
6,2,5347,8931,425,5265.10000000149,8866.299999999814,431.2,955,29.873392706868383
7,2,5347,8931,425,5512.20000000298,8561.100000000093,461.2,1050,116.20793818855036
8,2,5347,8931,425,5511.20000000298,8867.299999999814,434.0,975,50.386530432858976
9,2,5347,8931,425,5511.0,8747.399999999907,443.0,990,70.52512072349835
10,2,5347,8931,425,5266.29999999702,8780.399999999907,430.4,968,48.84127561932826
11,3,5536,8841,436,5265.10000000149,8866.299999999814,431.2,1072,77.74891035350795
12,3,5536,8841,436,5512.20000000298,8561.100000000093,461.2,1080,80.58231436077811
13,3,5536,8841,436,5511.20000000298,8867.299999999814,434.0,1002,10.344001514601207
14,3,5536,8841,436,5511.0,8747.399999999907,443.0,1008,27.75249207418955
15,3,5536,8841,436,5266.29999999702,8780.399999999907,430.4,1074,78.9946058616295
16,4,5509,8826,428,5265.10000000149,8866.299999999814,431.2,1058,70.63648822901088
17,4,5509,8826,428,5511.20000000298,8867.299999999814,434.0,980,11.940430375444382
18,4,5509,8826,428,5511.0,8747.399999999907,443.0,1000,22.869568051415794
19,4,5509,8826,428,5266.29999999702,8780.399999999907,430.4,1030,70.55951894963923
20,5,5496,8874,428,5265.10000000149,8866.299999999814,431.2,1069,66.01443255884662
21,5,5496,8874,428,5511.20000000298,8867.299999999814,434.0,1006,5.046154325522293
22,5,5496,8874,428,5511.0,8747.399999999907,443.0,1037,36.67569956766244
23,5,5496,8874,428,5266.29999999702,8780.399999999907,430.4,1069,70.87143289163264
24,6,5478,8826,428,5265.10000000149,8866.299999999814,431.2,1085,61.915505294436116
25,6,5478,8826,428,5511.20000000298,8867.299999999814,434.0,1006,15.236717200083039
26,6,5478,8826,428,5511.0,8747.399999999907,443.0,1035,24.73031684855183
27,6,5478,8826,428,5266.29999999702,8780.399999999907,430.4,1050,61.87677682545998
28,7,5354,8877,433,5265.10000000149,8866.299999999814,431.2,965,25.588485930660205
29,7,5354,8877,433,5511.20000000298,8867.299999999814,434.0,986,45.000616776671684
30,7,5354,8877,433,5511.0,8747.399999999907,443.0,1002,58.236085313618325
31,7,5354,8877,433,5266.29999999702,8780.399999999907,430.4,978,37.285013677643995
32,8,5453,8869,441,5265.10000000149,8866.299999999814,431.2,1047,53.764216913878066
33,8,5453,8869,441,5511.20000000298,8867.299999999814,434.0,1010,16.755456011425622
34,8,5453,8869,441,5511.0,8747.399999999907,443.0,1029,38.496816725036275
35,8,5453,8869,441,5266.29999999702,8780.399999999907,430.4,1054,59.12229456286269
36,9,5312,8902,433,5265.10000000149,8866.299999999814,431.2,986,16.848278540717267
37,9,5312,8902,433,5511.20000000298,8867.299999999814,434.0,1027,57.772057366367676
38,9,5312,8902,433,5511.0,8747.399999999907,443.0,1041,72.0556247716085
39,9,5312,8902,433,5266.29999999702,8780.399999999907,430.4,1005,37.1228627505961
40,10,5512,8859,436,5265.10000000149,8866.299999999814,431.2,1059,70.58700811215492
